old_name,name,short_name,item_name,description,scale,reverse_code
O_AesSens,Openness,O,O_1,Value artistic experiences,"likert scale from 1 ""not at all"" to 5 ""extremely""",no
E_Assert,Extraversion,E,E_1,Assertive,"likert scale from 1 ""not at all"" to 5 ""extremely""",no
N_Depr,Neuroticism,N,N_1,Depressed,"likert scale from 1 ""not at all"" to 5 ""extremely""",no
N_EmoVol,Neuroticism,N,N_2,Feel emotionally volatile,"likert scale from 1 ""not at all"" to 5 ""extremely""",no
O_IntCur,Openness,O,O_2,"Curious, open to new experiences","likert scale from 1 ""not at all"" to 5 ""extremely""",no
C_Org,Conscientiousness,C,C_1,Organized,"likert scale from 1 ""not at all"" to 5 ""extremely""",no
A_Rspct,Agreeableness,A,A_1,Resepct others,"likert scale from 1 ""not at all"" to 5 ""extremely""",no
C_Rspnbl,Conscientiousness,C,C_2,Responsible,"likert scale from 1 ""not at all"" to 5 ""extremely""",no
A_Cmpn,Agreeableness,A,A_2,Compassionate,"likert scale from 1 ""not at all"" to 5 ""extremely""",no
E_EnerLev,Extraversion,E,E_2,Energetic,"likert scale from 1 ""not at all"" to 5 ""extremely""",no
satisfaction,Life Satisfaction,SWL,satisfaction,How satisfied are you with your life right now?,"likert scale from 1 ""not at all"" to 5 ""extremely""",no